regulatoryGene,targetGene,weight
CDN75_RS10885,CDN75_RS00040,1
CDN75_RS16775,CDN75_RS00410,1
CDN75_RS22580,CDN75_RS00570,1
CDN75_RS22960,CDN75_RS00580,1
CDN75_RS09135,CDN75_RS00590,1
CDN75_RS24440,CDN75_RS00605,1
CDN75_RS17285,CDN75_RS00610,1
CDN75_RS11040,CDN75_RS00615,1
CDN75_RS11080,CDN75_RS00790,1
CDN75_RS17670,CDN75_RS00880,1
CDN75_RS05555,CDN75_RS00900,1
CDN75_RS04825,CDN75_RS00930,1
CDN75_RS07500,CDN75_RS01055,1
CDN75_RS04825,CDN75_RS01060,1
CDN75_RS17935,CDN75_RS01165,1
CDN75_RS22225,CDN75_RS01235,1
CDN75_RS24345,CDN75_RS01625,1
CDN75_RS04760,CDN75_RS02150,1
CDN75_RS01170,CDN75_RS02155,1
CDN75_RS07360,CDN75_RS02180,1
CDN75_RS09145,CDN75_RS02260,1
CDN75_RS07640,CDN75_RS02285,1
CDN75_RS08985,CDN75_RS02290,1
CDN75_RS03330,CDN75_RS02665,1
CDN75_RS23080,CDN75_RS02695,1
CDN75_RS06380,CDN75_RS02715,1
CDN75_RS20495,CDN75_RS02735,1
CDN75_RS09150,CDN75_RS02740,1
CDN75_RS15715,CDN75_RS02750,1
CDN75_RS18570,CDN75_RS02795,1
CDN75_RS05065,CDN75_RS02820,1
CDN75_RS24175,CDN75_RS02895,1
CDN75_RS22015,CDN75_RS02945,1
CDN75_RS05610,CDN75_RS03330,1
CDN75_RS20510,CDN75_RS03415,1
CDN75_RS08360,CDN75_RS03425,1
CDN75_RS22075,CDN75_RS03440,1
CDN75_RS12110,CDN75_RS03445,1
CDN75_RS16380,CDN75_RS03475,1
CDN75_RS03700,CDN75_RS03490,1
CDN75_RS24440,CDN75_RS03655,1
CDN75_RS18420,CDN75_RS03695,1
CDN75_RS00185,CDN75_RS03700,1
CDN75_RS23535,CDN75_RS03765,1
CDN75_RS08905,CDN75_RS03785,1
CDN75_RS13610,CDN75_RS03790,1
CDN75_RS04780,CDN75_RS03795,1
CDN75_RS14720,CDN75_RS04065,1
CDN75_RS14950,CDN75_RS04200,1
CDN75_RS23475,CDN75_RS04230,1
CDN75_RS00865,CDN75_RS04295,1
CDN75_RS13295,CDN75_RS04515,1
CDN75_RS09380,CDN75_RS04535,1
CDN75_RS21500,CDN75_RS04550,1
CDN75_RS11770,CDN75_RS04555,1
CDN75_RS15110,CDN75_RS04565,1
CDN75_RS15630,CDN75_RS04570,1
CDN75_RS22925,CDN75_RS04575,1
CDN75_RS08685,CDN75_RS04590,1
CDN75_RS09400,CDN75_RS04600,1
CDN75_RS13230,CDN75_RS04640,1
CDN75_RS03425,CDN75_RS04665,1
CDN75_RS04595,CDN75_RS04670,1
CDN75_RS04550,CDN75_RS04725,1
CDN75_RS14845,CDN75_RS04830,1
CDN75_RS22940,CDN75_RS04835,1
CDN75_RS00205,CDN75_RS04860,1
CDN75_RS09000,CDN75_RS04895,1
CDN75_RS14445,CDN75_RS05005,1
CDN75_RS06490,CDN75_RS05065,1
CDN75_RS13245,CDN75_RS05225,1
CDN75_RS19260,CDN75_RS05230,1
CDN75_RS10360,CDN75_RS05680,1
CDN75_RS12725,CDN75_RS05760,1
CDN75_RS21355,CDN75_RS05785,1
CDN75_RS17715,CDN75_RS05935,1
CDN75_RS13030,CDN75_RS06335,1
CDN75_RS13515,CDN75_RS06380,1
CDN75_RS10300,CDN75_RS06490,1
CDN75_RS08910,CDN75_RS06505,1
CDN75_RS08985,CDN75_RS06525,1
CDN75_RS11975,CDN75_RS06530,1
CDN75_RS09015,CDN75_RS06660,1
CDN75_RS18295,CDN75_RS06840,1
CDN75_RS24520,CDN75_RS07030,1
CDN75_RS21715,CDN75_RS07135,1
CDN75_RS16065,CDN75_RS07230,1
CDN75_RS17170,CDN75_RS07300,1
CDN75_RS16525,CDN75_RS07360,1
CDN75_RS04575,CDN75_RS07485,1
CDN75_RS16095,CDN75_RS07490,1
CDN75_RS00985,CDN75_RS07500,1
CDN75_RS18195,CDN75_RS07640,1
CDN75_RS21065,CDN75_RS08190,1
CDN75_RS05610,CDN75_RS08255,1
CDN75_RS08715,CDN75_RS08535,1
CDN75_RS04895,CDN75_RS08605,1
CDN75_RS05845,CDN75_RS08685,1
CDN75_RS13330,CDN75_RS08700,1
CDN75_RS14950,CDN75_RS08715,1
CDN75_RS13560,CDN75_RS08750,1
CDN75_RS20890,CDN75_RS08910,1
CDN75_RS20850,CDN75_RS08925,1
CDN75_RS20770,CDN75_RS08985,1
CDN75_RS02750,CDN75_RS08990,1
CDN75_RS20520,CDN75_RS08995,1
CDN75_RS24335,CDN75_RS09010,1
CDN75_RS21840,CDN75_RS09015,1
CDN75_RS12190,CDN75_RS09030,1
CDN75_RS13240,CDN75_RS09150,1
CDN75_RS20910,CDN75_RS09210,1
CDN75_RS24685,CDN75_RS09215,1
CDN75_RS14950,CDN75_RS09400,1
CDN75_RS00795,CDN75_RS09595,1
CDN75_RS14945,CDN75_RS09980,1
CDN75_RS13225,CDN75_RS10105,1
CDN75_RS03425,CDN75_RS10145,1
CDN75_RS17170,CDN75_RS10305,1
CDN75_RS09660,CDN75_RS10480,1
CDN75_RS18585,CDN75_RS10510,1
CDN75_RS23075,CDN75_RS10565,1
CDN75_RS04295,CDN75_RS10665,1
CDN75_RS22995,CDN75_RS10695,1
CDN75_RS05785,CDN75_RS10705,1
CDN75_RS17135,CDN75_RS10800,1
CDN75_RS03915,CDN75_RS11040,1
CDN75_RS08695,CDN75_RS11050,1
CDN75_RS10510,CDN75_RS11070,1
CDN75_RS23200,CDN75_RS11090,1
CDN75_RS20655,CDN75_RS11095,1
CDN75_RS23405,CDN75_RS11125,1
CDN75_RS07425,CDN75_RS11905,1
CDN75_RS19785,CDN75_RS11925,1
CDN75_RS15765,CDN75_RS12095,1
CDN75_RS20815,CDN75_RS12105,1
CDN75_RS22340,CDN75_RS12165,1
CDN75_RS24165,CDN75_RS12175,1
CDN75_RS13210,CDN75_RS12180,1
CDN75_RS06060,CDN75_RS12190,1
CDN75_RS13215,CDN75_RS12240,1
CDN75_RS11100,CDN75_RS12250,1
CDN75_RS13330,CDN75_RS12280,1
CDN75_RS20365,CDN75_RS12285,1
CDN75_RS16210,CDN75_RS12425,1
CDN75_RS14650,CDN75_RS12465,1
CDN75_RS11220,CDN75_RS12720,1
CDN75_RS10360,CDN75_RS12730,1
CDN75_RS13200,CDN75_RS12735,1
CDN75_RS04575,CDN75_RS12880,1
CDN75_RS16565,CDN75_RS12895,1
CDN75_RS16795,CDN75_RS12900,1
CDN75_RS06840,CDN75_RS13025,1
