gene	exposed1	exposed2	exposed3
CDN75_RS00035	2	2	2
CDN75_RS00040	2	2	2
CDN75_RS00050	2	2	2
CDN75_RS00060	2	2	2
CDN75_RS00075	2	2	2
CDN75_RS00080	2	2	2
CDN75_RS00085	2	2	2
CDN75_RS00090	2	2	2
CDN75_RS00095	2	2	2
CDN75_RS00100	2	2	2
CDN75_RS00110	2	2	2
CDN75_RS00125	2	2	3
CDN75_RS00135	1	2	2
CDN75_RS00140	2	2	2
CDN75_RS00150	2	1	2
CDN75_RS00155	2	2	3
CDN75_RS00165	2	2	2
CDN75_RS00170	2	2	2
CDN75_RS00175	2	2	2
CDN75_RS00180	1	2	2
CDN75_RS00185	1	2	3
CDN75_RS00190	2	2	3
CDN75_RS00195	1	2	3
CDN75_RS00200	2	2	3
CDN75_RS00205	2	2	3
CDN75_RS00210	2	2	3
CDN75_RS00230	2	2	2
CDN75_RS00235	2	2	1
CDN75_RS00240	2	2	2
CDN75_RS00245	2	2	1
CDN75_RS00260	2	2	2
CDN75_RS00265	2	2	2
CDN75_RS00270	2	2	2
CDN75_RS00280	2	2	2
CDN75_RS00285	2	2	2
CDN75_RS00290	2	2	2
CDN75_RS00295	2	2	2
CDN75_RS00300	2	2	2
CDN75_RS00305	2	2	2
CDN75_RS00310	1	2	2
CDN75_RS00315	2	2	2
CDN75_RS00320	2	2	2
CDN75_RS00325	2	2	2
CDN75_RS00330	2	2	2
CDN75_RS00335	2	2	3
CDN75_RS00340	2	2	2
CDN75_RS00345	2	2	2
CDN75_RS00355	2	2	2
CDN75_RS00360	2	2	2
CDN75_RS00370	2	2	2
CDN75_RS00375	2	3	2
CDN75_RS00380	2	2	2
CDN75_RS00385	2	2	2
CDN75_RS00390	2	2	2
CDN75_RS00400	2	2	1
CDN75_RS00405	2	2	1
CDN75_RS00410	2	2	1
CDN75_RS00415	2	2	2
CDN75_RS00420	2	2	2
CDN75_RS00435	2	2	2
CDN75_RS00440	2	2	2
CDN75_RS00445	2	2	1
CDN75_RS00450	2	2	2
CDN75_RS00460	2	2	3
CDN75_RS00470	2	2	2
CDN75_RS00475	2	2	2
CDN75_RS00480	2	2	2
CDN75_RS00485	2	2	2
CDN75_RS00490	2	2	2
CDN75_RS00495	2	2	2
CDN75_RS00500	2	2	2
CDN75_RS00505	2	2	2
CDN75_RS00510	2	2	2
CDN75_RS00515	2	2	2
CDN75_RS00525	2	2	2
CDN75_RS00530	2	2	2
CDN75_RS00535	2	2	2
CDN75_RS00540	2	2	2
CDN75_RS00545	2	2	2
CDN75_RS00550	2	2	2
CDN75_RS00555	2	2	2
CDN75_RS00560	2	2	2
CDN75_RS00570	2	2	1
CDN75_RS00580	2	2	1
CDN75_RS00585	2	2	2
CDN75_RS00590	2	2	2
CDN75_RS00595	2	2	2
CDN75_RS00600	2	2	2
CDN75_RS00605	2	2	1
CDN75_RS00610	3	2	1
CDN75_RS00615	2	2	1
CDN75_RS00620	2	2	2
CDN75_RS00625	2	2	2
CDN75_RS00630	2	2	2
CDN75_RS00635	2	2	2
CDN75_RS00645	2	2	2
CDN75_RS00650	2	2	2
CDN75_RS00655	2	2	2
CDN75_RS00660	2	2	2
CDN75_RS00665	2	2	2
CDN75_RS00670	2	2	2
CDN75_RS00685	2	2	2
CDN75_RS00690	2	2	2
CDN75_RS00695	2	2	2
CDN75_RS00700	2	2	2
CDN75_RS00705	2	2	2
CDN75_RS00710	2	2	2
CDN75_RS00715	2	2	2
CDN75_RS00720	2	2	2
CDN75_RS00730	2	2	3
CDN75_RS00735	2	2	2
CDN75_RS00745	2	2	2
CDN75_RS00755	2	2	2
CDN75_RS00760	2	2	2
CDN75_RS00765	2	2	2
CDN75_RS00770	2	2	2
CDN75_RS00775	2	2	2
CDN75_RS00780	2	2	2
CDN75_RS00785	2	2	2
CDN75_RS00790	1	2	2
CDN75_RS00795	2	1	2
CDN75_RS00800	2	2	2
CDN75_RS00805	2	2	2
CDN75_RS00810	2	2	2
CDN75_RS00815	2	2	2
CDN75_RS00820	3	2	1
CDN75_RS00825	2	2	2
CDN75_RS00830	2	2	2
CDN75_RS00835	2	2	2
CDN75_RS00840	2	2	2
CDN75_RS00845	2	2	2
CDN75_RS00850	2	3	2
CDN75_RS00855	2	2	1
CDN75_RS00860	2	2	2
CDN75_RS00865	2	2	2
CDN75_RS00870	2	2	2
CDN75_RS00875	2	2	2
CDN75_RS00880	2	2	2
CDN75_RS00885	2	2	2
CDN75_RS00900	2	2	2
CDN75_RS00905	2	2	2
CDN75_RS00915	2	2	2
CDN75_RS00920	2	2	2
CDN75_RS00925	2	2	2
CDN75_RS00930	2	2	2
CDN75_RS00935	2	2	2
CDN75_RS00940	2	2	2
CDN75_RS00945	2	2	2
CDN75_RS00955	2	2	2
CDN75_RS00960	2	2	1
CDN75_RS00965	2	2	1
CDN75_RS00970	2	2	1
CDN75_RS00980	2	2	1
CDN75_RS00985	2	2	3
CDN75_RS00990	2	2	2
CDN75_RS00995	2	2	2
CDN75_RS01000	2	2	2
CDN75_RS01010	2	2	3
CDN75_RS01015	2	2	2
CDN75_RS01020	2	2	2
CDN75_RS01030	2	2	2
CDN75_RS01035	2	2	3
CDN75_RS01040	2	2	2
CDN75_RS01045	2	2	2
CDN75_RS01050	2	2	2
CDN75_RS01055	2	2	2
CDN75_RS01060	2	2	2
CDN75_RS01065	2	2	3
CDN75_RS01070	2	2	3
CDN75_RS01075	2	2	2
CDN75_RS01080	2	2	2
CDN75_RS01085	2	2	2
CDN75_RS01090	2	2	2
CDN75_RS01095	2	2	2
CDN75_RS01100	2	2	3
CDN75_RS01105	2	2	2
CDN75_RS01110	2	2	2
CDN75_RS01115	2	2	2
CDN75_RS01120	2	2	2
CDN75_RS01125	2	2	2
CDN75_RS01130	2	2	2
CDN75_RS01135	2	2	2
CDN75_RS01140	2	2	2
CDN75_RS01150	2	2	2
CDN75_RS01160	2	2	2
CDN75_RS01165	2	2	1
CDN75_RS01170	2	2	1
CDN75_RS01180	2	2	3
CDN75_RS01185	2	2	2
CDN75_RS01190	2	2	2
CDN75_RS01195	2	2	2
CDN75_RS01200	2	2	2
CDN75_RS01205	2	2	2
CDN75_RS01210	2	2	2
CDN75_RS01215	2	2	2
CDN75_RS01220	2	2	2
CDN75_RS01225	2	2	2
CDN75_RS01230	2	2	2
CDN75_RS01235	2	3	2
CDN75_RS01240	2	2	2
CDN75_RS01245	2	2	2
CDN75_RS01250	2	2	3
CDN75_RS01255	2	2	2
CDN75_RS01260	2	2	2
CDN75_RS01265	2	2	2
CDN75_RS01270	2	2	2
CDN75_RS01275	2	2	2
CDN75_RS01280	2	2	2
CDN75_RS01290	2	2	3
CDN75_RS01295	2	2	2
CDN75_RS01300	2	2	2
CDN75_RS01305	2	2	3
CDN75_RS01310	2	2	2
CDN75_RS01320	2	2	2
CDN75_RS01325	2	2	2
CDN75_RS01330	2	2	2
CDN75_RS01335	2	2	2
CDN75_RS01340	2	2	2
CDN75_RS01345	2	2	2
CDN75_RS01350	2	2	2
CDN75_RS01355	2	2	2
CDN75_RS01360	2	2	2
CDN75_RS01365	2	2	2
CDN75_RS01370	2	2	2
CDN75_RS01375	2	2	2
CDN75_RS01380	2	2	2
CDN75_RS01385	2	2	2
CDN75_RS01390	2	2	2
CDN75_RS01395	2	2	2
CDN75_RS01400	2	2	2
CDN75_RS01405	2	2	2
CDN75_RS01415	2	2	1
CDN75_RS01420	2	2	2
CDN75_RS01425	2	2	2
CDN75_RS01430	2	2	2
CDN75_RS01435	2	2	2
CDN75_RS01440	2	2	2
CDN75_RS01445	2	2	2
CDN75_RS01450	2	2	2
CDN75_RS01460	2	2	2
CDN75_RS01465	2	2	2
CDN75_RS01470	2	2	2
CDN75_RS01475	2	2	3
CDN75_RS01480	2	2	3
CDN75_RS01485	2	2	2
CDN75_RS01490	2	2	2
CDN75_RS01495	2	2	2
CDN75_RS01505	2	2	2
CDN75_RS01510	2	2	2
CDN75_RS01515	2	2	2
CDN75_RS01525	2	2	2
CDN75_RS01530	2	2	2
CDN75_RS01540	2	2	2
CDN75_RS01545	2	2	2
CDN75_RS01550	2	2	2
CDN75_RS01560	2	2	2
CDN75_RS01565	2	2	2
CDN75_RS01570	2	2	2
CDN75_RS01575	2	2	3
CDN75_RS01580	2	2	1
CDN75_RS01585	2	2	1
CDN75_RS01590	2	2	2
CDN75_RS01595	2	2	2
CDN75_RS01600	3	2	2
CDN75_RS01605	2	2	2
CDN75_RS01610	2	2	1
CDN75_RS01620	2	2	2
CDN75_RS01625	2	3	2
CDN75_RS01635	2	2	3
CDN75_RS01640	2	2	2
CDN75_RS01645	2	2	2
CDN75_RS01650	2	2	2
CDN75_RS01655	2	2	2
CDN75_RS01665	2	2	3
CDN75_RS01670	2	2	2
CDN75_RS01680	2	2	2
CDN75_RS01685	2	2	2
CDN75_RS01710	2	2	2
CDN75_RS01720	2	2	2
CDN75_RS01725	2	2	2
CDN75_RS01730	2	2	1
CDN75_RS01735	2	2	3
CDN75_RS01740	2	2	2
CDN75_RS01745	2	2	2
CDN75_RS01755	2	2	3
CDN75_RS01760	2	2	2
CDN75_RS01765	2	2	2
CDN75_RS01770	2	2	2
CDN75_RS01775	2	2	2
CDN75_RS01780	3	2	2
CDN75_RS01785	2	2	2
CDN75_RS01790	2	2	2
CDN75_RS01795	2	2	2
CDN75_RS01800	2	2	2
CDN75_RS01805	2	2	2
CDN75_RS01815	1	2	2
CDN75_RS01820	2	2	2
CDN75_RS01825	2	2	2
CDN75_RS01830	2	2	2
CDN75_RS01835	2	2	2
CDN75_RS01840	2	2	2
CDN75_RS01845	2	2	2
CDN75_RS01850	2	2	2
CDN75_RS01855	2	2	2
CDN75_RS01860	2	2	2
CDN75_RS01865	2	2	2
CDN75_RS01870	2	2	2
CDN75_RS01875	2	2	3
CDN75_RS01885	2	2	2
CDN75_RS01890	2	2	2
CDN75_RS01905	2	2	2
CDN75_RS01910	2	2	2
CDN75_RS01915	2	2	1
