regulatoryGene,targetGene,weight
CDN75_RS16405,CDN75_RS00125,1
CDN75_RS00580,CDN75_RS00155,1
CDN75_RS05005,CDN75_RS00180,1
CDN75_RS05695,CDN75_RS00195,1
CDN75_RS16155,CDN75_RS00200,1
CDN75_RS01585,CDN75_RS00245,1
CDN75_RS04755,CDN75_RS00335,1
CDN75_RS02570,CDN75_RS00375,1
CDN75_RS21240,CDN75_RS00605,1
CDN75_RS16100,CDN75_RS00615,1
CDN75_RS24375,CDN75_RS00730,1
CDN75_RS06380,CDN75_RS00850,1
CDN75_RS03435,CDN75_RS00855,1
CDN75_RS04670,CDN75_RS00960,1
CDN75_RS02580,CDN75_RS00970,1
CDN75_RS09005,CDN75_RS01010,1
CDN75_RS07660,CDN75_RS01035,1
CDN75_RS19180,CDN75_RS01065,1
CDN75_RS01290,CDN75_RS01170,1
CDN75_RS10775,CDN75_RS01305,1
CDN75_RS00570,CDN75_RS01415,1
CDN75_RS12535,CDN75_RS01575,1
CDN75_RS20875,CDN75_RS01755,1
CDN75_RS05240,CDN75_RS01875,1
CDN75_RS04865,CDN75_RS01990,1
CDN75_RS04075,CDN75_RS02090,1
CDN75_RS13935,CDN75_RS02150,1
CDN75_RS22965,CDN75_RS02190,1
CDN75_RS24165,CDN75_RS02230,1
CDN75_RS18405,CDN75_RS02245,1
CDN75_RS04860,CDN75_RS02285,1
CDN75_RS15680,CDN75_RS02320,1
CDN75_RS00965,CDN75_RS02360,1
CDN75_RS22330,CDN75_RS02410,1
CDN75_RS11080,CDN75_RS02420,1
CDN75_RS05240,CDN75_RS02430,1
CDN75_RS17295,CDN75_RS02525,1
CDN75_RS21500,CDN75_RS02565,1
CDN75_RS15425,CDN75_RS02575,1
CDN75_RS11325,CDN75_RS02580,1
CDN75_RS22015,CDN75_RS02610,1
CDN75_RS20145,CDN75_RS02620,1
CDN75_RS03415,CDN75_RS02695,1
CDN75_RS24585,CDN75_RS02715,1
CDN75_RS01290,CDN75_RS02725,1
CDN75_RS06340,CDN75_RS02770,1
CDN75_RS22535,CDN75_RS02810,1
CDN75_RS01780,CDN75_RS02940,1
CDN75_RS16205,CDN75_RS03095,1
CDN75_RS16640,CDN75_RS03245,1
CDN75_RS08715,CDN75_RS03260,1
CDN75_RS23405,CDN75_RS03330,1
CDN75_RS23400,CDN75_RS03350,1
CDN75_RS07300,CDN75_RS03355,1
CDN75_RS22100,CDN75_RS03365,1
CDN75_RS17740,CDN75_RS03380,1
CDN75_RS02285,CDN75_RS03420,1
CDN75_RS08250,CDN75_RS03445,1
CDN75_RS03090,CDN75_RS03665,1
CDN75_RS14590,CDN75_RS03815,1
CDN75_RS05695,CDN75_RS03865,1
CDN75_RS04200,CDN75_RS03990,1
CDN75_RS17725,CDN75_RS04010,1
CDN75_RS13260,CDN75_RS04040,1
CDN75_RS04175,CDN75_RS04060,1
CDN75_RS02795,CDN75_RS04065,1
CDN75_RS07135,CDN75_RS04145,1
CDN75_RS21950,CDN75_RS04245,1
CDN75_RS05920,CDN75_RS04280,1
CDN75_RS05700,CDN75_RS04295,1
CDN75_RS04900,CDN75_RS04430,1
CDN75_RS22125,CDN75_RS04540,1
CDN75_RS17280,CDN75_RS04550,1
CDN75_RS16765,CDN75_RS04555,1
CDN75_RS07360,CDN75_RS04560,1
CDN75_RS04870,CDN75_RS04595,1
CDN75_RS14625,CDN75_RS04600,1
CDN75_RS14000,CDN75_RS04670,1
CDN75_RS22140,CDN75_RS04695,1
CDN75_RS21215,CDN75_RS04755,1
CDN75_RS16100,CDN75_RS04780,1
CDN75_RS11980,CDN75_RS04850,1
CDN75_RS13215,CDN75_RS04860,1
CDN75_RS18930,CDN75_RS04865,1
CDN75_RS00820,CDN75_RS04870,1
CDN75_RS12425,CDN75_RS04945,1
CDN75_RS13500,CDN75_RS04960,1
CDN75_RS18295,CDN75_RS05010,1
CDN75_RS22545,CDN75_RS05015,1
CDN75_RS17725,CDN75_RS05080,1
CDN75_RS05695,CDN75_RS05240,1
CDN75_RS09045,CDN75_RS05705,1
CDN75_RS23030,CDN75_RS05765,1
CDN75_RS13215,CDN75_RS05785,1
CDN75_RS13260,CDN75_RS05865,1
CDN75_RS23840,CDN75_RS05910,1
CDN75_RS09215,CDN75_RS05935,1
CDN75_RS02760,CDN75_RS06060,1
CDN75_RS12880,CDN75_RS06180,1
CDN75_RS09030,CDN75_RS06195,1
CDN75_RS18065,CDN75_RS06340,1
CDN75_RS04820,CDN75_RS06365,1
CDN75_RS18025,CDN75_RS06525,1
CDN75_RS24345,CDN75_RS06840,1
CDN75_RS22940,CDN75_RS06845,1
CDN75_RS02580,CDN75_RS07090,1
CDN75_RS16020,CDN75_RS07180,1
CDN75_RS23435,CDN75_RS07250,1
CDN75_RS18065,CDN75_RS07345,1
CDN75_RS03505,CDN75_RS07365,1
CDN75_RS11975,CDN75_RS07370,1
CDN75_RS19725,CDN75_RS07660,1
CDN75_RS12445,CDN75_RS07690,1
CDN75_RS08910,CDN75_RS08125,1
CDN75_RS17540,CDN75_RS08190,1
CDN75_RS07765,CDN75_RS08255,1
CDN75_RS04760,CDN75_RS08390,1
CDN75_RS11090,CDN75_RS08550,1
CDN75_RS09595,CDN75_RS08580,1
CDN75_RS04280,CDN75_RS08700,1
CDN75_RS22015,CDN75_RS08750,1
CDN75_RS13500,CDN75_RS08900,1
CDN75_RS13030,CDN75_RS08985,1
CDN75_RS13220,CDN75_RS08990,1
CDN75_RS20875,CDN75_RS09015,1
CDN75_RS03380,CDN75_RS09135,1
CDN75_RS07250,CDN75_RS09190,1
CDN75_RS15480,CDN75_RS09375,1
CDN75_RS20590,CDN75_RS09440,1
CDN75_RS04055,CDN75_RS09475,1
