gene_labels,gene_labels.1
CDN75_RS00035,CDN75_RS00035
CDN75_RS00040,CDN75_RS00040
CDN75_RS00050,CDN75_RS00050
CDN75_RS00060,CDN75_RS00060
CDN75_RS00075,CDN75_RS00075
CDN75_RS00080,CDN75_RS00080
CDN75_RS00085,CDN75_RS00085
CDN75_RS00090,CDN75_RS00090
CDN75_RS00095,CDN75_RS00095
CDN75_RS00100,CDN75_RS00100
CDN75_RS00110,CDN75_RS00110
CDN75_RS00125,CDN75_RS00125
CDN75_RS00135,CDN75_RS00135
CDN75_RS00140,CDN75_RS00140
CDN75_RS00150,CDN75_RS00150
CDN75_RS00155,CDN75_RS00155
CDN75_RS00165,CDN75_RS00165
CDN75_RS00170,CDN75_RS00170
CDN75_RS00175,CDN75_RS00175
CDN75_RS00180,CDN75_RS00180
CDN75_RS00185,CDN75_RS00185
CDN75_RS00190,CDN75_RS00190
CDN75_RS00195,CDN75_RS00195
CDN75_RS00200,CDN75_RS00200
CDN75_RS00205,CDN75_RS00205
CDN75_RS00210,CDN75_RS00210
CDN75_RS00230,CDN75_RS00230
CDN75_RS00235,CDN75_RS00235
CDN75_RS00240,CDN75_RS00240
CDN75_RS00245,CDN75_RS00245
CDN75_RS00260,CDN75_RS00260
CDN75_RS00265,CDN75_RS00265
CDN75_RS00270,CDN75_RS00270
CDN75_RS00280,CDN75_RS00280
CDN75_RS00285,CDN75_RS00285
CDN75_RS00290,CDN75_RS00290
CDN75_RS00295,CDN75_RS00295
CDN75_RS00300,CDN75_RS00300
CDN75_RS00305,CDN75_RS00305
CDN75_RS00310,CDN75_RS00310
CDN75_RS00315,CDN75_RS00315
CDN75_RS00320,CDN75_RS00320
CDN75_RS00325,CDN75_RS00325
CDN75_RS00330,CDN75_RS00330
CDN75_RS00335,CDN75_RS00335
CDN75_RS00340,CDN75_RS00340
CDN75_RS00345,CDN75_RS00345
CDN75_RS00355,CDN75_RS00355
CDN75_RS00360,CDN75_RS00360
CDN75_RS00370,CDN75_RS00370
CDN75_RS00375,CDN75_RS00375
CDN75_RS00380,CDN75_RS00380
CDN75_RS00385,CDN75_RS00385
CDN75_RS00390,CDN75_RS00390
CDN75_RS00400,CDN75_RS00400
CDN75_RS00405,CDN75_RS00405
CDN75_RS00410,CDN75_RS00410
CDN75_RS00415,CDN75_RS00415
CDN75_RS00420,CDN75_RS00420
CDN75_RS00435,CDN75_RS00435
CDN75_RS00440,CDN75_RS00440
CDN75_RS00445,CDN75_RS00445
CDN75_RS00450,CDN75_RS00450
CDN75_RS00460,CDN75_RS00460
CDN75_RS00470,CDN75_RS00470
CDN75_RS00475,CDN75_RS00475
CDN75_RS00480,CDN75_RS00480
CDN75_RS00485,CDN75_RS00485
CDN75_RS00490,CDN75_RS00490
CDN75_RS00495,CDN75_RS00495
CDN75_RS00500,CDN75_RS00500
CDN75_RS00505,CDN75_RS00505
CDN75_RS00510,CDN75_RS00510
CDN75_RS00515,CDN75_RS00515
CDN75_RS00525,CDN75_RS00525
CDN75_RS00530,CDN75_RS00530
CDN75_RS00535,CDN75_RS00535
CDN75_RS00540,CDN75_RS00540
CDN75_RS00545,CDN75_RS00545
CDN75_RS00550,CDN75_RS00550
CDN75_RS00555,CDN75_RS00555
CDN75_RS00560,CDN75_RS00560
CDN75_RS00570,CDN75_RS00570
CDN75_RS00580,CDN75_RS00580
CDN75_RS00585,CDN75_RS00585
CDN75_RS00590,CDN75_RS00590
CDN75_RS00595,CDN75_RS00595
CDN75_RS00600,CDN75_RS00600
CDN75_RS00605,CDN75_RS00605
CDN75_RS00610,CDN75_RS00610
